scenario,signal_count,action_count,risk,classification,top_signals,top_actions
SCENARIO_14_HYBRID_CLOUD_RANSOMWARE,7,6,Critical,"Hybrid-Cloud Ransomware Detonation","Golden ticket activity; Kubernetes data destruction; Mass file encryption","Block attacker IP; Capture forensic artifacts; Disable compromised accounts"
SCENARIO_17_HARDWARE_ROOT_OF_TRUST_COMPROMISE,6,6,Critical,"Hardware Root-of-Trust Compromise - TPM/Secure Enclave Extraction","Enclave debug session; Forged attestation; Large outbound exfiltration","Audit VM clone operations; Block attacker IP; Isolate compromised node"
SCENARIO_16_OIDC_SIGNING_KEY_THEFT,6,6,Critical,"Global Identity Provider Compromise - OIDC Signing Key Theft","Forged tokens with abnormal lifetimes; Large outbound exfiltration; Privilege escalation via forged tokens","Audit token issuance; Block attacker IP; Disable IdP admin accounts"
SCENARIO_15_CROSS_TENANT_FEDERATION_ABUSE,6,6,Critical,"Cross-Tenant Cloud Takeover - Federation Abuse","Creation of rogue service principal; Cross-tenant secret access; Federated identity assuming privileged role","Audit role assumptions; Block attacker IP; Disable compromised identities"
SCENARIO_13_ZERO_DAY_EXPLOIT,6,6,Critical,"Zero-Day Exploitation and Runtime Compromise","Large outbound data transfer; Privilege escalation attempt; SSH lateral movement","Block attacker IP; Capture forensic artifacts; Disable vulnerable endpoint"
SCENARIO_12_SUPPLY_CHAIN_POISONING,6,6,Critical,"Supply-Chain Compromise - CI/CD Pipeline Poisoning","Artifact hash mismatch; Malicious build step; Outbound callback to attacker","Audit pipeline history; Block attacker IP; Halt deployments"
SCENARIO_11_K8S_SIDECAR_BREAKOUT,6,6,Critical,"Kubernetes Container Breakout and Node Compromise","Cloud API secret access; Host filesystem mount attempt; Kubelet client cert access","Audit cloud API calls; Isolate and drain node; Quarantine compromised pod"
SCENARIO_10_SERVICE_PRINCIPAL_HIJACK,6,6,Critical,"Cloud Workload Compromise - Service Principal Hijack","Foreign IP service principal login; Large blob downloads; Long-lived secret creation","Audit IAM role changes; Block attacker IP; Disable service principal"
SCENARIO_4_BEC_ATTEMPT,5,7,Critical,"Business Email Compromise (BEC) - Active Account Takeover","Financial urgency keywords; New device fingerprint; Reply-to changed to external domain","Block suspicious IP; Disable executive account; Inspect mailbox rules"
SCENARIO_9_LATERAL_MOVEMENT_OAUTH,5,6,Critical,"Lateral Movement via Compromised OAuth App","App impersonating multiple users; Large repo and mailbox exports; Long-lived refresh token","Audit app permission history; Block attacker IP; Disable OAuth app"
SCENARIO_8_TOKEN_REPLAY_IMPOSSIBLE_TRAVEL,5,6,Critical,"Token Replay and Impossible Travel","Device fingerprint mismatch; Impossible travel; Same token used from two locations","Block suspicious IP; Force MFA re-enrollment; Invalidate token"
SCENARIO_7_INSIDER_MISUSE,5,6,Critical,"Insider Misuse - Privilege Creep and Data Exfiltration","Access to sensitive finance files; High UEBA anomaly score; Large upload to personal cloud","Analyze ZIP contents; Block outbound uploads; Disable user account"
SCENARIO_6_VENDOR_COMPROMISE,5,6,Critical,"Vendor Email Compromise","AP team engagement; Changed banking details; Unusual vendor login region","Block vendor temporarily; Contact vendor security; Notify finance leadership"
SCENARIO_5_OAUTH_ABUSE,4,6,High,"OAuth Consent Abuse","Foreign IP token use; High-risk scopes; Mailbox forwarding rule","Delete mailbox rules; Notify leadership; Remove malicious app"
SCENARIO_3_UNAUTHORIZED_ACCESS,4,6,High,"Unauthorized access / credential compromise","Credential stuffing pattern; Multiple failed logins from rotating IPs; Sudden login success","Block suspicious IPs; Disable account; Enforce MFA"
SCENARIO_2_MALWARE_ATTACHMENT,4,4,High,"Malware attachment attempt","Known test signature; Malware signature match; Quarantine event","Check whether similar messages bypassed filters; Confirm quarantine; Notify security team"
SCENARIO_1_SPAM_BURST,4,4,Medium,"Spam burst / relay probing","Authentication failures; Bot-like reconnect behavior; High-frequency inbound attempts","Block source IP; Increase rate-limit thresholds; Monitor for repeat attempts"
